,uchisq,gchisq,rchisq,ichisq,zchisq,totchisq,reducedtotchisq,umagdif,gmagdif,rmagdif,imagdif,zmagdif
0,,,,,,,,-1.806030999999999,-2.997548,-2.281065999999999,-1.9872639999999997,-1.060986999999999
1,,,,,,,,-1.7270589999999988,-2.946529999999999,-2.238339,-1.9468530000000008,-1.0225039999999996
2,,,,,,,,-1.6003579999999982,-2.8653759999999995,-2.1701879999999996,-1.8827879999999997,-0.9611229999999988
3,,,,,,,,-1.471892999999998,-2.783486999999999,-2.1015580000000007,-1.8186730000000004,-0.8993509999999993
4,,,,,,,,-1.3487730000000013,-2.7051820000000006,-2.035761000000001,-1.7573930000000004,-0.8400659999999984
5,,,,,,,,-1.229690999999999,-2.6292109999999997,-1.9720709999999997,-1.698162,-0.7826509999999995
6,,,,,,,,-1.096316999999999,-2.543576,-1.9003899999999998,-1.6314580000000003,-0.7179539999999989
7,,,,,,,,-0.9652510000000003,-2.4585690000000007,-1.8293920000000004,-1.5652240000000006,-0.6537739999999985
8,,,,,,,,-0.839207,-2.3757710000000003,-1.7604159999999993,-1.5006210000000006,-0.5913149999999998
9,,,,,,,,-0.7153709999999993,-2.2932179999999995,-1.691891,-1.4360700000000008,-0.5291629999999987
10,,,,,,,,-0.5763160000000003,-2.198886999999999,-1.613626,-1.3618609999999993,-0.45813099999999984
11,,,,,,,,-0.4430739999999993,-2.106695,-1.5372009999999996,-1.2891399999999997,-0.38872799999999863
12,,,,,,,,-0.31522399999999884,-2.0164469999999994,-1.4626490000000008,-1.2177380000000007,-0.3209049999999998
13,,,,,,,,-0.18266500000000008,-1.9209329999999998,-1.3835899999999999,-1.1422360000000005,-0.24944099999999914
14,,,,,,,,-0.04159399999999991,-1.8176419999999993,-1.2977620000000005,-1.0612980000000007,-0.17283499999999918
15,,,,,,,,0.09255000000000102,-1.7180040000000005,-1.2142909999999993,-0.9834139999999998,-0.09916599999999853
16,,,,,,,,0.2210049999999999,-1.621307999999999,-1.1326199999999993,-0.9075419999999994,-0.02732799999999891
17,,,,,,,,0.36435800000000107,-1.511723,-1.038983,-0.8204229999999999,0.05546800000000118
18,,,,,,,,0.5048560000000002,-1.403817,-0.9463340000000002,-0.7344480000000004,0.13724100000000128
19,,,,,,,,0.640702000000001,-1.2934230000000007,-0.84727,-0.6403540000000003,0.22835099999999997
20,,,,,,,,0.7766510000000011,-1.1827810000000003,-0.7476789999999998,-0.5456199999999995,0.3202030000000011
21,,,,,,,,0.9195150000000005,-1.0662380000000002,-0.6424479999999999,-0.44541199999999925,0.41745000000000054
22,,,,,,,,1.0631570000000021,-0.949266999999999,-0.536683,-0.3445070000000001,0.5154770000000006
23,,,,,,,,1.1993170000000024,-0.8375360000000001,-0.43501499999999993,-0.24715499999999935,0.6102690000000006
24,,,,,,,,1.3331049999999998,-0.7273549999999993,-0.33431000000000033,-0.150347,0.7047440000000016
25,,,,,,,,1.4719370000000005,-0.6120009999999994,-0.22829800000000056,-0.04796200000000006,0.8048470000000005
26,,,,,,,,1.5902700000000003,-0.5092590000000001,-0.13134699999999988,0.04700599999999966,0.8984090000000009
27,,,,,,,,1.7056730000000009,-0.4087840000000007,-0.03650200000000048,0.1399399999999993,0.9899060000000013
28,,,,,,,,1.8142150000000008,-0.31394899999999915,0.053169000000000466,0.22771099999999933,1.0762610000000006
29,,,,,,,,1.9197140000000008,-0.22193099999999966,0.14011700000000005,0.31287799999999955,1.1600340000000013
30,,,,,,,,2.008579000000001,-0.14403599999999983,0.2137670000000007,0.38500200000000007,1.2308960000000013
31,,,,,,,,2.071351,-0.08949600000000046,0.26513399999999976,0.435238,1.2801600000000022
32,,,,,,,,2.1322609999999997,-0.03633499999999934,0.3152480000000004,0.48424699999999987,1.3281930000000006
33,,,,,,,,2.1919590000000007,0.016018000000000754,0.3646390000000004,0.5325419999999994,1.3755030000000001
34,,,,,,,,2.253065000000001,0.0694909999999993,0.4150709999999993,0.5818630000000002,1.4238
35,,,,,,,,2.316403000000001,0.12462700000000027,0.46688499999999955,0.6324679999999994,1.4732260000000004
36,,,,,,,,2.3784620000000007,0.17847700000000088,0.5173640000000006,0.6816999999999993,1.5212320000000012
37,,,,,,,,2.4334940000000014,0.22645499999999963,0.5624839999999995,0.7257339999999992,1.5642160000000018
38,,,,,,,,2.5297680000000007,0.30721499999999935,0.6366669999999992,0.7973100000000013,1.6333050000000018
39,,,,,,,,2.573837000000001,0.3440399999999997,0.6703410000000005,0.8297030000000003,1.6644900000000007
40,,,,,,,,2.610679000000001,0.37502800000000036,0.6986989999999995,0.8569570000000013,1.690729000000001
41,,,,,,,,2.671667000000001,0.4255969999999998,0.7448099999999993,0.9012250000000002,1.7333370000000006
42,,,,,,,,2.715135,0.462136000000001,0.7781289999999998,0.933135,1.7639990000000019
43,,,,,,,,2.750351,0.4914090000000009,0.8047399999999989,0.9586109999999994,1.7884600000000006
44,,,,,,,,2.7776010000000007,0.5141659999999995,0.8254359999999998,0.978396,1.8074720000000006
45,,,,,,,,2.8211190000000013,0.5502269999999996,0.8581350000000008,1.0096109999999996,1.8374520000000008
46,,,,,,,,2.8609540000000013,0.5831560000000007,0.8879619999999999,1.0380509999999994,1.8647790000000004
47,,,,,,,,2.876133000000001,0.5958520000000007,0.8994479999999996,1.0489630000000005,1.875248000000001
48,,,,,,,,2.891191000000001,0.6084510000000005,0.9108490000000007,1.0597949999999994,1.8856470000000005
49,,,,,,,,2.909127,0.6230930000000008,0.9240509999999986,1.0723520000000004,1.8977090000000008
50,,,,,,,,2.9284670000000013,0.6390270000000005,0.938428,1.0860029999999998,1.910821000000002
51,,,,,,,,2.947196,0.6544600000000003,0.9523530000000004,1.0992219999999993,1.9235240000000022
52,,,,,,,,2.974366,0.6768789999999996,0.9725320000000011,1.1183230000000002,1.941865
53,,,,,,,,3.0017519999999998,0.6991770000000006,0.9925759999999997,1.1373100000000012,1.9601199999999999
54,,,,,,,,3.0232400000000013,0.7167630000000003,1.008382000000001,1.1522579999999998,1.9744990000000016
55,,,,,,,,3.0361130000000003,0.7272110000000005,1.0177209999999999,1.1610570000000013,1.9829500000000007
56,,,,,,,,3.0487830000000002,0.7373510000000003,1.026776,1.1695989999999998,1.991163000000002
57,,,,,,,,3.060967999999999,0.7472300000000001,1.0356020000000008,1.1779080000000004,1.999148
58,,,,,,,,3.075768,0.759189000000001,1.046266000000001,1.187932,2.008781000000001
59,,,,,,,,3.0914660000000005,0.7718509999999998,1.0575419999999998,1.198519000000001,2.0189580000000014
60,,,,,,,,3.107271000000001,0.7844440000000006,1.06874,1.209033999999999,2.0290750000000006
61,,,,,,,,3.139532000000001,0.8101599999999998,1.091550999999999,1.2303899999999999,2.049626
62,,,,,,,,3.1745669999999997,0.8377850000000002,1.1160139999999998,1.2532770000000006,2.071689000000001
63,,,,,,,,3.217163000000001,0.8713800000000003,1.145563000000001,1.280704,2.098110000000001
64,,,,,,,,3.2799560000000003,0.9209069999999997,1.1891610000000004,1.3211080000000006,2.137189000000001
65,,,,,,,,3.349361,0.9754360000000002,1.2371039999999986,1.3653860000000009,2.1802170000000007
66,,,,,,,,3.455903000000001,1.0578979999999998,1.308795,1.4311150000000001,2.2438200000000013
67,,,,,,,,3.5598920000000014,1.137690000000001,1.3780850000000004,1.4949750000000002,2.305238000000001
68,,,,,,,,3.6636370000000014,1.2172490000000007,1.4469740000000009,1.5586060000000002,2.3660570000000014
69,,,,,,,,3.7657950000000007,1.2949490000000008,1.5140550000000008,1.6206969999999998,2.425116000000001
70,,,,,,,,3.8704860000000014,1.374663,1.5828500000000005,1.6845720000000002,2.485622000000001
71,,,,,,,,3.9727890000000006,1.451464999999999,1.6484769999999997,1.745381,2.5427690000000007
72,,,,,,,,4.075787,1.5278500000000008,1.7130240000000008,1.8050050000000004,2.5982970000000005
73,,,,,,,,4.178092000000001,1.604108,1.7774660000000004,1.8646890000000003,2.653714000000001
74,,,,,,,,4.27802,1.678991,1.840745,1.9234300000000006,2.70814
75,,,,,,,,4.380523,1.7560339999999997,1.9056059999999997,1.983619,2.7637090000000004
76,,,,,,,,4.478948000000001,1.8303159999999998,1.9679960000000003,2.041278,2.8170230000000007
77,,,,,,,,4.578703000000001,1.9060570000000006,2.031581,2.099639999999999,2.871289000000001
78,,,,,,,,4.686654000000001,1.9868880000000004,2.0984729999999994,2.1601979999999994,2.9275100000000016
79,,,,,,,,4.798398000000001,2.0700839999999996,2.1666550000000004,2.2212440000000013,2.9841690000000014
80,,,,,,,,4.907611000000001,2.1518770000000007,2.2337130000000007,2.2811210000000006,3.039891000000001
